city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Huntington Woods,MI,0,14,100.0,Critical Opportunity
Downingtown,PA,600,14,0.159,Saturated Market
Sonoma,CA,250,70,0.3816,Saturated Market
Plymouth Meeting,PA,0,98,100.0,Critical Opportunity
Grass Valley,CA,600,0,0.159,Saturated Market
Saranac,MI,0,14,100.0,Critical Opportunity
HUNTINGDON,PA,100,0,0.954,Stable/Growing
Key Biscayne,FL,0,98,100.0,Critical Opportunity
Carthage,TX,400,7,0.2385,Saturated Market
Mt. Hood,OR,0,42,100.0,Critical Opportunity
Suquamish,WA,600,0,0.159,Saturated Market
Lees Summit,MO,0,21,100.0,Critical Opportunity
Rego Park,NY,0,14,100.0,Critical Opportunity
Ehrhardt,SC,0,14,100.0,Critical Opportunity
Cornersville,TN,1200,0,0.0795,Saturated Market
Lihue,HI,0,35,100.0,Critical Opportunity
Hamptonburgh,NY,0,14,100.0,Critical Opportunity
Monticello,KY,0,14,100.0,Critical Opportunity
Deptford,NJ,200,14,0.477,Saturated Market
Pennsauken Township,NJ,400,35,0.2385,Saturated Market
Oakfield,NY,0,14,100.0,Critical Opportunity
Walden,NY,0,14,100.0,Critical Opportunity
Owego,NY,600,63,0.159,Saturated Market
Kirkland,WA,1000,798,0.0954,Saturated Market
Cameron,LA,0,14,100.0,Critical Opportunity
Aberdeen,WA,700,42,0.1363,Saturated Market
Washington,MO,100,42,0.954,Stable/Growing
Akron,PA,0,14,100.0,Critical Opportunity
Naugatuck,CT,0,14,100.0,Critical Opportunity
Bloomsburg,PA,50,84,1.9079,High Opportunity
Nevada City,CA,0,28,100.0,Critical Opportunity
Wood-Ridge,NJ,0,42,100.0,Critical Opportunity
Mount Airy,NC,0,14,100.0,Critical Opportunity
Holly Hill,FL,200,42,0.477,Saturated Market
Blackfoot,ID,500,49,0.1908,Saturated Market
Brooklyn,IA,200,0,0.477,Saturated Market
Liberty,MO,0,28,100.0,Critical Opportunity
Poulsbo,WA,600,182,0.159,Saturated Market
Aberdeen,SD,50,0,1.9079,High Opportunity
Fountain,CO,0,42,100.0,Critical Opportunity
New Boston,TX,800,0,0.1192,Saturated Market
Murphy,NC,100,0,0.954,Stable/Growing
Lakeside,CA,1200,133,0.0795,Saturated Market
Plains,TX,0,7,100.0,Critical Opportunity
Washington Court House,OH,0,28,100.0,Critical Opportunity
Hurricane,UT,0,35,100.0,Critical Opportunity
Unit B City of Industry,CA,0,7,100.0,Critical Opportunity
Springville,UT,0,56,100.0,Critical Opportunity
Stateline,NV,0,28,100.0,Critical Opportunity
Brighton,CO,0,343,100.0,Critical Opportunity
Chamberlain,SD,300,0,0.318,Saturated Market
Marlboro,MA,300,0,0.318,Saturated Market
Fruiland,ID,100,7,0.954,Stable/Growing
Calabasas,CA,1300,91,0.0734,Saturated Market
Missoula,MT,900,147,0.106,Saturated Market
Hachita,NM,0,14,100.0,Critical Opportunity
Tom's Brook,VA,200,0,0.477,Saturated Market
Metuchen,NJ,0,77,100.0,Critical Opportunity
Fairplay,CO,100,0,0.954,Stable/Growing
Bethany Beach,DE,0,56,100.0,Critical Opportunity
Granger,IN,300,0,0.318,Saturated Market
Frystown,PA,200,0,0.477,Saturated Market
Carmel,CA,0,42,100.0,Critical Opportunity
Walnut,CA,0,462,100.0,Critical Opportunity
Palouse,WA,0,7,100.0,Critical Opportunity
Chesterbrook,PA,0,14,100.0,Critical Opportunity
Bloomingdale,IL,600,56,0.159,Saturated Market
Richmondville,NY,200,0,0.477,Saturated Market
Williamsburg,MA,50,14,1.9079,High Opportunity
Ely,MN,0,56,100.0,Critical Opportunity
Arlington,OR,100,7,0.954,Stable/Growing
Norton Shores,MI,100,14,0.954,Stable/Growing
East Rochester,NY,300,154,0.318,Saturated Market
Van Buren,ME,150,0,0.636,Stable/Growing
Newtown,PA,600,0,0.159,Saturated Market
Imperial,CA,0,63,100.0,Critical Opportunity
Presque Isle,MI,0,28,100.0,Critical Opportunity
Morrison,CO,0,70,100.0,Critical Opportunity
Harrison,TN,0,14,100.0,Critical Opportunity
Neeses,SC,0,70,100.0,Critical Opportunity
Plain City,OH,0,21,100.0,Critical Opportunity
Chillicothe,IL,400,0,0.2385,Saturated Market
Solvang,CA,0,56,100.0,Critical Opportunity
Hancock,MI,150,0,0.636,Stable/Growing
Morgantown,WV,100,63,0.954,Stable/Growing
Northfield,VT,0,14,100.0,Critical Opportunity
Middletown,CA,0,21,100.0,Critical Opportunity
Three Rivers,TX,0,14,100.0,Critical Opportunity
Skokie,IL,0,28,100.0,Critical Opportunity
Kimberly,WI,0,14,100.0,Critical Opportunity
Red Hook,NY,500,28,0.1908,Saturated Market
Southampton,NY,950,98,0.1004,Saturated Market
North Chelmsford,MA,300,0,0.318,Saturated Market
Stone Ridge,NY,0,49,100.0,Critical Opportunity
Columbus,IN,400,98,0.2385,Saturated Market
Norton,OH,0,7,100.0,Critical Opportunity
Granite Bay,CA,0,35,100.0,Critical Opportunity
Elk Rapids,MI,0,28,100.0,Critical Opportunity
Columbia,TN,350,21,0.2726,Saturated Market
Lanham,MD,0,56,100.0,Critical Opportunity
Carbondale,CO,0,112,100.0,Critical Opportunity
Detroit,MI,4550,3206,0.021,Saturated Market
Adelphi,MD,0,56,100.0,Critical Opportunity
Cordele,GA,1000,0,0.0954,Saturated Market
Altamonte Springs,FL,0,77,100.0,Critical Opportunity
Decatur,AL,150,35,0.636,Stable/Growing
Plainfield,CT,0,14,100.0,Critical Opportunity
Angelica,NY,200,0,0.477,Saturated Market
Charleston,WV,50,84,1.9079,High Opportunity
Bridgeton,NJ,0,0,100.0,Critical Opportunity
Snowmass Village,CO,50,56,1.9079,High Opportunity
Dilley,TX,0,14,100.0,Critical Opportunity
Olney,IL,50,0,1.9079,High Opportunity
RITTMAN,OH,50,0,1.9079,High Opportunity
Bernards,NJ,0,112,100.0,Critical Opportunity
PETOSKEY,MI,50,0,1.9079,High Opportunity
Greenport,NY,0,14,100.0,Critical Opportunity
SEA GIRT,NJ,50,0,1.9079,High Opportunity
Scotia,NY,0,140,100.0,Critical Opportunity
Newington,CT,0,224,100.0,Critical Opportunity
Pell City,AL,800,21,0.1192,Saturated Market
Peckville,PA,50,0,1.9079,High Opportunity
Duarte,CA,1600,70,0.0596,Saturated Market
Desert Hot Springs,CA,0,105,100.0,Critical Opportunity
Saint George,ME,0,28,100.0,Critical Opportunity
Glen Ridge,NJ,0,14,100.0,Critical Opportunity
West Lawn,PA,0,14,100.0,Critical Opportunity
St. Petersburg,FL,1900,378,0.0502,Saturated Market
McGregor,TX,300,0,0.318,Saturated Market
Hatfield,PA,0,28,100.0,Critical Opportunity
Blairsville,GA,100,28,0.954,Stable/Growing
Elko,NV,200,35,0.477,Saturated Market
PLAINFIELD,IL,50,0,1.9079,High Opportunity
Rawlins,WY,400,7,0.2385,Saturated Market
Kailua- Kona,HI,200,0,0.477,Saturated Market
Hingham,MA,150,112,0.636,Stable/Growing
Mansfield,OH,400,49,0.2385,Saturated Market
Baldwin,MI,0,14,100.0,Critical Opportunity
Bethalto,IL,0,14,100.0,Critical Opportunity
Waverly,TN,100,0,0.954,Stable/Growing
Idaho Springs,CO,1000,0,0.0954,Saturated Market
High Falls,NY,0,63,100.0,Critical Opportunity
Moose,WY,0,14,100.0,Critical Opportunity
Milpitas,CA,4350,385,0.0219,Saturated Market
Troy,MI,650,784,0.1468,Saturated Market
Greenville,PA,200,0,0.477,Saturated Market
Washington,NC,50,28,1.9079,High Opportunity
Miami Lakes,FL,0,238,100.0,Critical Opportunity
Boone,IA,0,7,100.0,Critical Opportunity
Earlysville,VA,0,14,100.0,Critical Opportunity
Firebaugh,CA,800,14,0.1192,Saturated Market
Whiteville,NC,600,42,0.159,Saturated Market
George,WA,600,0,0.159,Saturated Market
Freeport,IL,200,0,0.477,Saturated Market
Williamson,NY,100,0,0.954,Stable/Growing
Beeville,TX,50,42,1.9079,High Opportunity
Tawas City,MI,100,14,0.954,Stable/Growing
Barstow,CA,10100,525,0.0094,Saturated Market
Rochester,MN,1400,532,0.0681,Saturated Market
Lima,OH,250,91,0.3816,Saturated Market
Wellington,UT,400,0,0.2385,Saturated Market
Harrisonville,MO,200,14,0.477,Saturated Market
Granger,IA,0,28,100.0,Critical Opportunity
Mahopac,NY,200,42,0.477,Saturated Market
DIXON,IL,100,7,0.954,Stable/Growing
Syracuse,NY,2800,1106,0.0341,Saturated Market
Chambersburg,PA,1300,56,0.0734,Saturated Market
Apollo Beach,FL,0,84,100.0,Critical Opportunity
Jamestown,NM,200,0,0.477,Saturated Market
Whitehouse Station,NJ,50,0,1.9079,High Opportunity
Pine Plains,NY,0,28,100.0,Critical Opportunity
Burlingame,CA,1600,448,0.0596,Saturated Market
Forest City,IA,250,35,0.3816,Saturated Market
Norman,OK,500,133,0.1908,Saturated Market
Grayling,MI,300,70,0.318,Saturated Market
Wisconsin Dells,WI,600,42,0.159,Saturated Market
Miramar,FL,800,231,0.1192,Saturated Market
KOKOMO,IN,100,14,0.954,Stable/Growing
Youngstown,OH,400,196,0.2385,Saturated Market
East Orange,NJ,0,28,100.0,Critical Opportunity
Bellflower,CA,950,84,0.1004,Saturated Market
Bloomington,CA,0,63,100.0,Critical Opportunity
Jonesville,NC,100,14,0.954,Stable/Growing
Evesham,NJ,100,28,0.954,Stable/Growing
McDade,TX,0,14,100.0,Critical Opportunity
MEMPHIS,TN,100,0,0.954,Stable/Growing
Bettendorf,IA,900,105,0.106,Saturated Market
Graham,WA,0,7,100.0,Critical Opportunity
Keeseville,NY,0,28,100.0,Critical Opportunity
Exmore,VA,200,0,0.477,Saturated Market
Blacklick,OH,0,7,100.0,Critical Opportunity
Pomona,NJ,0,28,100.0,Critical Opportunity
Casselberry,FL,600,28,0.159,Saturated Market
Phelps,NY,500,28,0.1908,Saturated Market
St Pete Beach,FL,0,21,100.0,Critical Opportunity
Old Lyme,CT,0,28,100.0,Critical Opportunity
Saco,ME,500,98,0.1908,Saturated Market
Loleta,CA,0,14,100.0,Critical Opportunity
Bannockburn,IL,0,28,100.0,Critical Opportunity
Dekalb,IL,0,28,100.0,Critical Opportunity
Exton,PA,800,112,0.1192,Saturated Market
Brunswick,GA,2500,203,0.0382,Saturated Market
Waleska,GA,0,91,100.0,Critical Opportunity
Shadey Valley,TN,0,14,100.0,Critical Opportunity
Roche Harbor,WA,0,42,100.0,Critical Opportunity
Kansas City,KS,500,112,0.1908,Saturated Market
Lovell,ME,0,14,100.0,Critical Opportunity
Platteville,CO,0,28,100.0,Critical Opportunity
Somerville,MA,1100,721,0.0867,Saturated Market
Kingman,AZ,1300,0,0.0734,Saturated Market
Scott City,KS,0,14,100.0,Critical Opportunity
Borden,IN,0,14,100.0,Critical Opportunity
Pine City,MN,500,0,0.1908,Saturated Market
Fort Belvoir,VA,0,182,100.0,Critical Opportunity
Wall,NJ,0,42,100.0,Critical Opportunity
CATHEDRAL CITY,CA,100,21,0.954,Stable/Growing
Doral,FL,1300,686,0.0734,Saturated Market
Harlingen,TX,900,14,0.106,Saturated Market
BLOOMINGTON,IL,50,0,1.9079,High Opportunity
Oneonta,NY,0,168,100.0,Critical Opportunity
New Carrollton,MD,0,28,100.0,Critical Opportunity
New Haven,IN,0,7,100.0,Critical Opportunity
Ladson,SC,0,7,100.0,Critical Opportunity
Bridgman,MI,0,7,100.0,Critical Opportunity
Denison,TX,0,14,100.0,Critical Opportunity
Statesville,NC,1300,49,0.0734,Saturated Market
North Charleston,SC,1150,406,0.083,Saturated Market
Apex,NC,700,245,0.1363,Saturated Market
Lawrenceville,GA,950,378,0.1004,Saturated Market
Cloverdale,OR,0,28,100.0,Critical Opportunity
Wahoo,NE,300,7,0.318,Saturated Market
Geneva,IL,0,35,100.0,Critical Opportunity
Stone Mountain,GA,350,168,0.2726,Saturated Market
Dufur,OR,0,21,100.0,Critical Opportunity
Fosston,MN,100,14,0.954,Stable/Growing
Cherry Point,NC,0,14,100.0,Critical Opportunity
Hatfield,MO,0,14,100.0,Critical Opportunity
Salt Flat,TX,0,42,100.0,Critical Opportunity
Milford,MI,0,63,100.0,Critical Opportunity
Portsmouth,OH,50,28,1.9079,High Opportunity
OPELOUSAS,LA,50,0,1.9079,High Opportunity
Del Mar,CA,0,49,100.0,Critical Opportunity
Royal Palm Beach,FL,200,21,0.477,Saturated Market
Chatham,MA,300,28,0.318,Saturated Market
Santa Fe,NM,850,378,0.1122,Saturated Market
Ross,CA,0,21,100.0,Critical Opportunity
Carmichael,CA,1000,28,0.0954,Saturated Market
Parker,CO,200,140,0.477,Saturated Market
Coppell,TX,0,70,100.0,Critical Opportunity
Bartlett,IL,100,63,0.954,Stable/Growing
Colusa,CA,0,56,100.0,Critical Opportunity
Fort Knox,KY,0,126,100.0,Critical Opportunity
FRESNO,CA,0,28,100.0,Critical Opportunity
Woolwich Township,NJ,600,0,0.159,Saturated Market
Mountlake Terrace,WA,0,14,100.0,Critical Opportunity
Marshfield,MO,100,56,0.954,Stable/Growing
Raritan,NJ,0,63,100.0,Critical Opportunity
Brackettville,TX,0,14,100.0,Critical Opportunity
Plymouth,MN,500,175,0.1908,Saturated Market
Maiden,NC,0,14,100.0,Critical Opportunity
Rutland,VT,350,105,0.2726,Saturated Market
Farmersville,CA,0,56,100.0,Critical Opportunity
Allendale,NJ,200,0,0.477,Saturated Market
Champlain,NY,900,126,0.106,Saturated Market
Valrico,FL,600,0,0.159,Saturated Market
Sturgeon Bay,WI,400,28,0.2385,Saturated Market
CALUMET CITY,IL,50,0,1.9079,High Opportunity
Lebanon,KY,0,14,100.0,Critical Opportunity
Mendon,MA,400,14,0.2385,Saturated Market
Boerne,TX,300,0,0.318,Saturated Market
Chestnut Hill,MA,600,14,0.159,Saturated Market
Coeur d'Alene,ID,0,14,100.0,Critical Opportunity
Grasonville,MD,400,0,0.2385,Saturated Market
Commerce Charter Twp,MI,100,56,0.954,Stable/Growing
Carnation,WA,400,7,0.2385,Saturated Market
Jerseyville,IL,0,21,100.0,Critical Opportunity
Smyrna,GA,1050,98,0.0909,Saturated Market
West City,IL,200,0,0.477,Saturated Market
Woonsocket,RI,0,42,100.0,Critical Opportunity
Afton,NY,200,0,0.477,Saturated Market
Hastings on Hudson,NY,200,0,0.477,Saturated Market
Williamston,SC,50,0,1.9079,High Opportunity
Buxton,OR,0,21,100.0,Critical Opportunity
Cave City,KY,0,42,100.0,Critical Opportunity
Westport,MA,450,14,0.212,Saturated Market
Lunenburg,MA,0,14,100.0,Critical Opportunity
Willowick,OH,600,0,0.159,Saturated Market
Bethel,ME,0,70,100.0,Critical Opportunity
Berlin,MD,0,14,100.0,Critical Opportunity
Clifton,NJ,200,42,0.477,Saturated Market
Greenbank,WA,0,14,100.0,Critical Opportunity
Norfolk,VA,2400,1064,0.0397,Saturated Market
Penn State Berks,PA,0,14,100.0,Critical Opportunity
Deerfield Beach,FL,400,182,0.2385,Saturated Market
Schenectady,NY,500,973,0.1908,Saturated Market
Edgecliff Village,TX,600,0,0.159,Saturated Market
Georgetown,DE,500,70,0.1908,Saturated Market
Bethany,MO,100,0,0.954,Stable/Growing
Delavan,WI,400,14,0.2385,Saturated Market
Carrabelle,FL,200,0,0.477,Saturated Market
Morrisville,NC,600,903,0.159,Saturated Market
Carson,MI,100,0,0.954,Stable/Growing
Wills Point,TX,100,0,0.954,Stable/Growing
Bryan,TX,1000,980,0.0954,Saturated Market
Scarsdale,NY,0,210,100.0,Critical Opportunity
Clarkston,GA,100,0,0.954,Stable/Growing
Orange Beach,AL,700,14,0.1363,Saturated Market
Tahoe City,CA,0,42,100.0,Critical Opportunity
ST. Johnsbury,VT,200,14,0.477,Saturated Market
Leggett,CA,100,14,0.954,Stable/Growing
Higginsville,MO,200,0,0.477,Saturated Market
Manlius,NY,0,294,100.0,Critical Opportunity
COLORADO SPRINGS,CO,150,0,0.636,Stable/Growing
Universal City,TX,0,14,100.0,Critical Opportunity
Glen Cove,NY,0,28,100.0,Critical Opportunity
Cabazon,CA,600,0,0.159,Saturated Market
Commerce,TX,0,14,100.0,Critical Opportunity
Belle Chasse,LA,0,14,100.0,Critical Opportunity
Graniteville,SC,200,7,0.477,Saturated Market
Northport,MI,0,14,100.0,Critical Opportunity
SINTON,TX,0,7,100.0,Critical Opportunity
Questa,NM,100,0,0.954,Stable/Growing
Elkridge,MD,600,196,0.159,Saturated Market
Goodland,KS,700,0,0.1363,Saturated Market
Fort Lee,VA,0,826,100.0,Critical Opportunity
Calhoun,GA,300,140,0.318,Saturated Market
Colorado Springs,CO,2500,987,0.0382,Saturated Market
Lynchburg,VA,200,84,0.477,Saturated Market
Daphne,AL,150,42,0.636,Stable/Growing
Blacksburg,VA,500,224,0.1908,Saturated Market
Easley,SC,200,0,0.477,Saturated Market
Curlew,WA,0,7,100.0,Critical Opportunity
Cut Off,LA,100,0,0.954,Stable/Growing
Port Deposit,MD,800,0,0.1192,Saturated Market
Weed,CA,1800,0,0.053,Saturated Market
Lewiston,ID,700,35,0.1363,Saturated Market
Glen Burnie,MD,600,266,0.159,Saturated Market
West Point,VA,200,0,0.477,Saturated Market
Franklin Township,NJ,0,182,100.0,Critical Opportunity
Tooele,UT,0,84,100.0,Critical Opportunity
Hope,NJ,200,0,0.477,Saturated Market
Clackamas,OR,700,42,0.1363,Saturated Market
Elk Horn,NE,200,0,0.477,Saturated Market
Knightdale,NC,550,84,0.1734,Saturated Market
Driggs,ID,100,0,0.954,Stable/Growing
North Myrtle Beach,SC,600,28,0.159,Saturated Market
Caseyville,IL,600,0,0.159,Saturated Market
Tannersville,NY,0,14,100.0,Critical Opportunity
Columbus,KS,50,0,1.9079,High Opportunity
Venus,TX,0,14,100.0,Critical Opportunity
New Era,MI,50,0,1.9079,High Opportunity
Bee Cave,TX,400,0,0.2385,Saturated Market
Bound Brook,NJ,0,84,100.0,Critical Opportunity
Webster,WI,0,7,100.0,Critical Opportunity
Cambria,CA,0,35,100.0,Critical Opportunity
Alorton,IL,300,0,0.318,Saturated Market
Perry,NY,0,70,100.0,Critical Opportunity
Danville,IL,0,84,100.0,Critical Opportunity
Burbank,CA,1750,1106,0.0545,Saturated Market
New Roads,LA,0,42,100.0,Critical Opportunity
East Lansing,MI,300,42,0.318,Saturated Market
Valley Stream,NY,650,84,0.1468,Saturated Market
Lodi,CA,50,168,1.9079,High Opportunity
Kirksville,MO,100,0,0.954,Stable/Growing
Secaucus,NJ,0,56,100.0,Critical Opportunity
SHERMAN,TX,50,0,1.9079,High Opportunity
Winthrop,WA,200,42,0.477,Saturated Market
Saratoga,NY,0,28,100.0,Critical Opportunity
Dugway,UT,0,238,100.0,Critical Opportunity
West Babylon,NY,0,21,100.0,Critical Opportunity
Divernon,IL,200,0,0.477,Saturated Market
Medfield,MA,200,56,0.477,Saturated Market
Rosemead,CA,0,112,100.0,Critical Opportunity
Lake St Louis,MO,400,0,0.2385,Saturated Market
Mountainville,NY,0,28,100.0,Critical Opportunity
Kendallville,IN,200,42,0.477,Saturated Market
Ellenton,FL,1250,0,0.0763,Saturated Market
Portola Valley,CA,300,28,0.318,Saturated Market
Poplarville,MS,0,7,100.0,Critical Opportunity
Ivoryton,CT,0,14,100.0,Critical Opportunity
Solana Beach,CA,400,343,0.2385,Saturated Market
Richfield Springs,NY,0,49,100.0,Critical Opportunity
Milford,DE,300,63,0.318,Saturated Market
Apalachicola,FL,200,0,0.477,Saturated Market
Pflugerville,TX,250,175,0.3816,Saturated Market
Gilman,IL,700,0,0.1363,Saturated Market
Winters,CA,0,42,100.0,Critical Opportunity
Linton,IN,0,28,100.0,Critical Opportunity
Peacham,VT,0,14,100.0,Critical Opportunity
Corinth,TX,200,0,0.477,Saturated Market
Fleming Island,FL,0,14,100.0,Critical Opportunity
Perryville,MD,0,14,100.0,Critical Opportunity
Newark,NJ,1300,637,0.0734,Saturated Market
Seguin,TX,500,0,0.1908,Saturated Market
Scotssdale,AZ,0,14,100.0,Critical Opportunity
Shawnee,OK,100,0,0.954,Stable/Growing
South Euclid,OH,0,70,100.0,Critical Opportunity
Notre Dame,IN,0,28,100.0,Critical Opportunity
Swedesboro,NJ,600,0,0.159,Saturated Market
Martinez,CA,300,119,0.318,Saturated Market
Topeka,KS,500,728,0.1908,Saturated Market
Jarrell,TX,400,0,0.2385,Saturated Market
Pahokee,FL,100,0,0.954,Stable/Growing
Tyngsborough,MA,600,0,0.159,Saturated Market
Onalaska,WI,250,35,0.3816,Saturated Market
Carlisle,PA,400,119,0.2385,Saturated Market
Robbinsdale,MN,50,0,1.9079,High Opportunity
Westminster,CA,200,238,0.477,Saturated Market
Bear,DE,400,28,0.2385,Saturated Market
Cary,NC,2400,1015,0.0397,Saturated Market
West Harwich,MA,0,14,100.0,Critical Opportunity
Wintergreen Resort,VA,0,7,100.0,Critical Opportunity
Bossier City,LA,650,0,0.1468,Saturated Market
Middletown,NY,450,504,0.212,Saturated Market
Cape May Court House,NJ,50,0,1.9079,High Opportunity
Magee,MS,200,0,0.477,Saturated Market
Arcadia,CA,300,70,0.318,Saturated Market
Jackson,WY,50,105,1.9079,High Opportunity
Duncanville,TX,400,14,0.2385,Saturated Market
Sonoita,AZ,0,14,100.0,Critical Opportunity
Olympic Valley,CA,0,77,100.0,Critical Opportunity
Saint James,NY,400,56,0.2385,Saturated Market
New Jersey,NJ,0,56,100.0,Critical Opportunity
Walnut Ridge,AR,0,28,100.0,Critical Opportunity
Sunbury,PA,100,0,0.954,Stable/Growing
Carrboro,NC,50,91,1.9079,High Opportunity
Paradise Valley,AZ,0,63,100.0,Critical Opportunity
Sturgeon Lake,MN,100,0,0.954,Stable/Growing
PLYMOUTH,MI,0,7,100.0,Critical Opportunity
Dundalk,MD,200,84,0.477,Saturated Market
Fort Thomas,KY,0,140,100.0,Critical Opportunity
Malibu,CA,600,889,0.159,Saturated Market
Roanoke,TX,0,42,100.0,Critical Opportunity
Coon Rapids,MN,0,56,100.0,Critical Opportunity
Dallas,GA,100,28,0.954,Stable/Growing
Almont,MI,0,28,100.0,Critical Opportunity
Moorhead,MN,150,14,0.636,Stable/Growing
Blossburg,PA,0,28,100.0,Critical Opportunity
South Portland,ME,0,154,100.0,Critical Opportunity
Spencer,TN,0,14,100.0,Critical Opportunity
Grass Valley,OR,100,0,0.954,Stable/Growing
Henning,TN,0,14,100.0,Critical Opportunity
Stewartsville,NJ,0,140,100.0,Critical Opportunity
Manilus,NY,0,14,100.0,Critical Opportunity
Tiverton,RI,100,0,0.954,Stable/Growing
Clinton,NJ,900,42,0.106,Saturated Market
Bainbridge,GA,250,28,0.3816,Saturated Market
Medina,NY,0,70,100.0,Critical Opportunity
Huntington Park,CA,900,0,0.106,Saturated Market
Sylvania,OH,0,56,100.0,Critical Opportunity
Dickson City,PA,0,28,100.0,Critical Opportunity
Kirkwood,CA,0,42,100.0,Critical Opportunity
Broken Arrow,OK,650,84,0.1468,Saturated Market
Weston,ME,0,7,100.0,Critical Opportunity
Fort Lee,NJ,300,56,0.318,Saturated Market
Carlsbad,NM,600,56,0.159,Saturated Market
Lubec,ME,0,7,100.0,Critical Opportunity
Poolesville,MD,0,14,100.0,Critical Opportunity
Bakersfield,CA,7150,1029,0.0133,Saturated Market
Hillsborough,NC,0,42,100.0,Critical Opportunity
Brentwood,CA,800,147,0.1192,Saturated Market
North Pekin,IL,0,14,100.0,Critical Opportunity
Southport,NC,0,14,100.0,Critical Opportunity
South Pasadena,CA,650,126,0.1468,Saturated Market
Culver,OR,0,14,100.0,Critical Opportunity
Deale,MD,0,28,100.0,Critical Opportunity
Parachute,CO,600,28,0.159,Saturated Market
Wanakena,NY,0,7,100.0,Critical Opportunity
Trenton,FL,0,7,100.0,Critical Opportunity
Atco,NJ,0,14,100.0,Critical Opportunity
Cape Coral,FL,200,308,0.477,Saturated Market
Springboro,OH,0,84,100.0,Critical Opportunity
Sycamore,IL,400,0,0.2385,Saturated Market
Scarborough,ME,650,203,0.1468,Saturated Market
Beaumont,TX,700,70,0.1363,Saturated Market
Galesburg,IL,600,28,0.159,Saturated Market
Cleveland,MS,0,14,100.0,Critical Opportunity
Hollister,ID,0,42,100.0,Critical Opportunity
Southwick,MA,200,0,0.477,Saturated Market
Stewartville,MN,400,0,0.2385,Saturated Market
Yarmouthport,MA,0,28,100.0,Critical Opportunity
Gillette,WY,800,0,0.1192,Saturated Market
Ganado,AZ,0,42,100.0,Critical Opportunity
Paicines,CA,0,7,100.0,Critical Opportunity
Kihei,HI,100,119,0.954,Stable/Growing
Warren,IN,0,7,100.0,Critical Opportunity
Blue Jay,CA,50,0,1.9079,High Opportunity
Jackson,MS,1950,140,0.0489,Saturated Market
Banning,CA,150,28,0.636,Stable/Growing
Williams,AZ,600,84,0.159,Saturated Market
Mammoth,WY,0,14,100.0,Critical Opportunity
Plains,GA,0,0,100.0,Critical Opportunity
Blowing Rock,NC,300,0,0.318,Saturated Market
Lancaster,KY,0,14,100.0,Critical Opportunity
Holland,OH,0,21,100.0,Critical Opportunity
Salina,OK,0,70,100.0,Critical Opportunity
Accokeek,MD,0,14,100.0,Critical Opportunity
Seaside,OR,0,49,100.0,Critical Opportunity
Windsor,CO,0,70,100.0,Critical Opportunity
Clovis,NM,100,70,0.954,Stable/Growing
Rogue River,OR,600,0,0.159,Saturated Market
Sanborn,NY,0,28,100.0,Critical Opportunity
Cumberland,MD,300,35,0.318,Saturated Market
Wurtsboro,NY,0,42,100.0,Critical Opportunity
Nampa,ID,500,21,0.1908,Saturated Market
Parkersburg,WV,50,56,1.9079,High Opportunity
Wilmington,IL,0,14,100.0,Critical Opportunity
Falmouth,MA,200,91,0.477,Saturated Market
Holbrook,MA,300,0,0.318,Saturated Market
El Reno,OK,100,21,0.954,Stable/Growing
Southbury,CT,0,70,100.0,Critical Opportunity
Fort Stewart,GA,0,518,100.0,Critical Opportunity
Lake Buena Vista,FL,200,63,0.477,Saturated Market
Monroe,OH,0,14,100.0,Critical Opportunity
Elkins Park,PA,0,42,100.0,Critical Opportunity
Cridersville,OH,200,0,0.477,Saturated Market
Hilton,NY,0,70,100.0,Critical Opportunity
Hazard,KY,200,0,0.477,Saturated Market
Schoolcraft,MI,50,7,1.9079,High Opportunity
Granite Falls,MN,100,14,0.954,Stable/Growing
Reed City,MI,100,14,0.954,Stable/Growing
West Lafayette,IN,0,287,100.0,Critical Opportunity
SPRINGFIELD,MO,200,7,0.477,Saturated Market
Goleta,CA,300,371,0.318,Saturated Market
Fort Yates,ND,100,14,0.954,Stable/Growing
Disputanta,VA,200,0,0.477,Saturated Market
Claymont,DE,200,126,0.477,Saturated Market
Reedsport,OR,0,42,100.0,Critical Opportunity
Alamo,TX,0,28,100.0,Critical Opportunity
Cisco,TX,300,0,0.318,Saturated Market
Cameron Park,CA,600,0,0.159,Saturated Market
Byron,IL,0,14,100.0,Critical Opportunity
Maryville,TN,400,0,0.2385,Saturated Market
Newberry,SC,100,14,0.954,Stable/Growing
Norfolk,NE,700,98,0.1363,Saturated Market
White Pine,TN,200,0,0.477,Saturated Market
Middlebury,VT,350,98,0.2726,Saturated Market
Mayfield,NY,0,35,100.0,Critical Opportunity
Stafford,VA,800,133,0.1192,Saturated Market
Oelwein,IA,0,14,100.0,Critical Opportunity
Lodi,NJ,200,21,0.477,Saturated Market
FARMINGTON,NM,50,0,1.9079,High Opportunity
West Seneca,NY,400,28,0.2385,Saturated Market
Flemington,NJ,350,14,0.2726,Saturated Market
Pelham Bay,NY,0,28,100.0,Critical Opportunity
Kevil,KY,0,84,100.0,Critical Opportunity
Richwood,WV,0,14,100.0,Critical Opportunity
Davis,CA,1000,133,0.0954,Saturated Market
Stafford Township,NJ,950,63,0.1004,Saturated Market
Gridley,CA,100,0,0.954,Stable/Growing
Murfreesboro,TN,1050,287,0.0909,Saturated Market
